ESTADO;NOMBRE NODO;ACRONIMO;PROVINCIA;COORDENADAS
ENSERVICIO;VILLA EL TANGO;RARJVET01;SAN JUAN;[-68.24208333,-31.74805556]
ENSERVICIO;VILLA BORJAS;RARJVBJ01;SAN JUAN;[-68.328612,-31.81081]
ENSERVICIO;EL RINCON;RARJRIN01;SAN JUAN;[-68.31972222,-31.665]
ENSERVICIO;VILLA TULUMAYA;RARMVTU01;MENDOZA;[-68.58938056,-32.71966389]
ENSERVICIO;TUNUYAN (SILICA);RARMTNY01;MENDOZA;[-69.020645,-33.61479]
ENSERVICIO;SANTA ROSA SILICA;RARMSTR01;MENDOZA;[-68.117342,-33.248778]
ENSERVICIO;SAN CARLOS;RARMSNC01;MENDOZA;[-69.04103889,-33.7712]
ENSERVICIO;MENDOZA (MPLS);RARMMDZ02;MENDOZA;[-68.82823056,-32.8830167]
ENSERVICIO;MENDOZA (DWDM);RARMMDZ01;MENDOZA;[-68.82823056,-32.8830167]
ENSERVICIO;LAS VIOLETAS;RARMLVS01;MENDOZA;[-68.60633056,-32.82212222]
ENSERVICIO;BARRIO JOCOLI II;RARMJVJ01;MENDOZA;[-68.660069,-32.650868]
ENSERVICIO;INGENIERO GUSTAVO ANDRE;RARMIGA01;MENDOZA;[-68.31643611,-32.67673611]
ENSERVICIO;EL VERGEL;RARMEVG01;MENDOZA;[-68.61277778,-32.78555556]
ENSERVICIO;EUGENIO BUSTOS;RARMEBT01;MENDOZA;[-69.060025,-33.77418056]
ENSERVICIO;LAS CATITAS;RARMCTT01;MENDOZA;[-68.04661389,-33.30418333]
ENSERVICIO;CHILECITO;RARMCHT01;MENDOZA;[-69.06914167,-33.88847222]
ENSERVICIO;COSTA DE ARAUJO;RARMCAJ01;MENDOZA;[-68.40745,-32.75335556]
ENSERVICIO;BARRIO LA PEGA;RARMBLP01;MENDOZA;[-68.66527778,-32.80666667]
ENSERVICIO;BARRIO ALTO DEL OLVIDO;RARMBAO01;MENDOZA;[-68.58361111,-32.66888889]
ENSERVICIO;SAN VICENTE;RARNSVC01;MISIONES;[-54.4873,-26.99398333]
ENSERVICIO;SAN PEDRO;RARNSPE01;MISIONES;[-54.11433333,-26.62591667]
ENSERVICIO;SAN JOSE;RARNSNJ01;MISIONES;[-55.77979167,-27.76862778]
ENSERVICIO;POSADAS;RARNPSD01;MISIONES;[-55.890025,-27.43091389]
ENSERVICIO;PARAISO;RARNPRS01;MISIONES;[-54.204519,-26.689758]
ENSERVICIO;1° DE MAYO;RARNPDM01;MISIONES;[-55.027087,-27.16917]
ENSERVICIO;OBERA;RARNOBE01;MISIONES;[-55.10926667,-27.50046944]
ENSERVICIO;OLEGARIO V. ANDRADE;RARNOAN01;MISIONES;[-55.502488,-27.56989]
ENSERVICIO;LEANDRO N. ALEM;RARNLNA01;MISIONES;[-55.32125,-27.60483333]
ENSERVICIO;LOS HELECHOS;RARNLHL01;MISIONES;[-55.076642,-27.556114]
ENSERVICIO;GOBERNADOR LOPEZ (DESVINCULADO);RARNGLZ01;MISIONES;[-55.212966,-27.665374]
ENSERVICIO;2 DE MAYO (NUCLEO 2);RARNDMY01;MISIONES;[-54.663996,-27.029507]
ENSERVICIO;2 DE MAYO (NUCLEO 3);RARNDMA01;MISIONES;[-54.60730556,-27.01233333]
ENSERVICIO;2 DE MAYO (NUCLEO 1);RARNDDM01;MISIONES;[-54.6876,-27.02155]
ENSERVICIO;CAA - YARI;RARNCYI01;MISIONES;[-55.299521,-27.485512]
ENSERVICIO;CAMPO RAMON;RARNCRA01;MISIONES;[-55.022584,-27.457705]
ENSERVICIO;CAMPO VIERA;RARNCPV01;MISIONES;[-55.0516166,-27.3305333]
ENSERVICIO;CAMPO GRANDE;RARNCGD01;MISIONES;[-54.975396,-27.214249]
ENSERVICIO;CERRO AZUL;RARNCAZ01;MISIONES;[-55.49644722,-27.63339167]
ENSERVICIO;ARISTOBULO DEL VALLE;RARNADV01;MISIONES;[-54.89213333,-27.10326667]
ENSERVICIO;SAN CARLOS;RARWSNC01;CORRIENTES;[-55.90027778,-27.74446944]
ENSERVICIO;ITUZAINGO;RARWITZ01;CORRIENTES;[-56.6766,-27.58036667]
ENSERVICIO;ET ITA-IBATE;RARWITA01;CORRIENTES;[-57.336807,-27.446296]
ENSERVICIO;VILLA RUIZ;RARBVRZ01;BUENOS AIRES;[-59.26239,-34.431389]
ENSERVICIO;TOMAS JOFRE - JORGE BORN;RARBTJF01;BUENOS AIRES;[-59.316417,-34.700417]
ENSERVICIO;SUIPACHA;RARBSUI01;BUENOS AIRES;[-59.696286,-34.776292]
ENSERVICIO;SAN SEBASTIAN;RARBSSB01;BUENOS AIRES;[-59.70430556,-34.9434722]
ENSERVICIO;SAN ANDRES DE GILES;RARBSAG01;BUENOS AIRES;[-59.441972,-34.447194]
ENSERVICIO;RAWSON;RARBRWN01;BUENOS AIRES;[-60.06969444,-34.60525]
ENSERVICIO;PUEBLO GOUIN;RARBPGO01;BUENOS AIRES;[-59.80441667,-34.4926667]
ENSERVICIO;OLIVERA;RARBOVE01;BUENOS AIRES;[-59.2554,-34.627317]
ENSERVICIO;MERCEDES;RARBMCD01;BUENOS AIRES;[-59.440553,-34.675156]
ENSERVICIO;LA RICA;RARBLRC01;BUENOS AIRES;[-59.861472,-34.972556]
ENSERVICIO;LUJAN;RARBLJN01;BUENOS AIRES;[-59.109503,-34.579061]
ENSERVICIO;LOS ANGELES;RARBLAS01;BUENOS AIRES;[-60.17889444,-34.4554639]
ENSERVICIO;GOWLAND;RARBGWL01;BUENOS AIRES;[-59.3595,-34.654556]
ENSERVICIO;GENERAL RIVAS;RARBGRV01;BUENOS AIRES;[-59.749222,-34.608139]
ENSERVICIO;GOROSTIAGA;RARBGRT01;BUENOS AIRES;[-59.86720556,-34.8389222]
ENSERVICIO;GENERAL RODRIGUEZ;RARBGRD01;BUENOS AIRES;[-58.96486944,-34.60744167]
ENSERVICIO;GAHAN;RARBGAH01;BUENOS AIRES;[-60.09916667,-34.3386111]
ENSERVICIO;FRANKLIN;RARBFKN01;BUENOS AIRES;[-59.62936111,-34.60917778]
ENSERVICIO;EMILIO AYARZA (DESVINCULADO);RARBEAY01;BUENOS AIRES;[-60.04022222,-34.7472222]
ENSERVICIO;CASTILLA;RARBCTI01;BUENOS AIRES;[-59.89820833,-34.6116778]
ENSERVICIO;CARLOS KEEN;RARBCKN01;BUENOS AIRES;[-59.2175,-34.48888889]
ENSERVICIO;CHIVILCOY;RARBCHV01;BUENOS AIRES;[-59.99333333,-34.91833333]
ENSERVICIO;CUCULLU;RARBCCL01;BUENOS AIRES;[-59.36046944,-34.4453083]
ENSERVICIO;CARMEN DE ARECO;RARBCAR01;BUENOS AIRES;[-59.82036389,-34.38752778]
ENSERVICIO;BERDIER;RARBBRR01;BUENOS AIRES;[-60.25111111,-34.3988889]
ENSERVICIO;AZCUENAGA;RARBAZC01;BUENOS AIRES;[-59.375942,-34.363648]
ENSERVICIO;BARRIO SANTA PAULA;RARBSPA01;BUENOS AIRES;[-57.68613889,-37.93163056]
ENSERVICIO;SIERRA DE LOS PADRES;RARBSDP01;BUENOS AIRES;[-57.78494,-37.9369]
ENSERVICIO;NAPALEOFU;RARBNPL01;BUENOS AIRES;[-58.74756389,-37.6289444]
ENSERVICIO;MAR DEL PLATA;RARBMDP01;BUENOS AIRES;[-57.55039167,-37.9973778]
ENSERVICIO;MAR DE COBO;RARBMDC01;BUENOS AIRES;[-57.453917,-37.773969]
ENSERVICIO;MAR CHIQUITA;RARBMCQ01;BUENOS AIRES;[-57.433025,-37.7426861]
ENSERVICIO;LOS PINOS;RARBLPN01;BUENOS AIRES;[-58.324894,-37.943169]
ENSERVICIO;SANTA CLARA DEL MAR;RARBCLM01;BUENOS AIRES;[-57.507356,-37.842042]
ENSERVICIO;BALCARCE;RARBBLC01;BUENOS AIRES;[-58.24926111,-37.84979167]
ENSERVICIO;BARRIO LA GLORIA;RARBBGL01;BUENOS AIRES;[-57.78501111,-37.90758889]
ENSERVICIO;BARRIO EL COYUNCO;RARBBEC01;BUENOS AIRES;[-57.74728056,-37.91791944]
ENSERVICIO;BARRIO COLINAS VERDES;RARBBCV01;BUENOS AIRES;[-57.82196944,-37.89308889]
ENSERVICIO;VILLA UNION;RARFVUN01;LA RIOJA;[-68.218968,-29.314181]
ENSERVICIO;VICHIGASTA;RARFVCH01;LA RIOJA;[-67.506996,-29.485909]
ENSERVICIO;PATQUIA;RARFPTQ01;LA RIOJA;[-66.87872222,-30.04453611]
ENSERVICIO;POLCO;RARFPOC01;LA RIOJA;[-66.346274,-30.419179]
ENSERVICIO;NONOGASTA;RARFNNG01;LA RIOJA;[-67.506733,-29.301745]
ENSERVICIO;MILAGRO;RARFMGR01;LA RIOJA;[-65.99277778,-31.00816667]
ENSERVICIO;LA RIOJA;RARFLRJ01;LA RIOJA;[-66.873083333,-29.426105556]
ENSERVICIO;PUNTA DE LOS LLANOS;RARFLLA01;LA RIOJA;[-66.54430556,-30.15361111]
ENSERVICIO;GUANDACOL;RARFGND01;LA RIOJA;[-68.55403333,-29.52594722]
ENSERVICIO;LA TORRE - EL CHIFLON;RARFECH01;LA RIOJA;[-67.60243333,-30.20448333]
ENSERVICIO;CHEPES;RARFCHP01;LA RIOJA;[-66.57688611,-31.34456667]
ENSERVICIO;CHAMICAL;RARFCHL01;LA RIOJA;[-66.31252778,-30.36708333]
ENSERVICIO;CHANAR;RARFCHA01;LA RIOJA;[-65.95666667,-30.5408333]
ENSERVICIO;CHASCOMUS;RARBCHM01;BUENOS AIRES;[-58.01896944,-35.5737361]
ENSERVICIO;ABASTO (SILICA);RARBABT01;BUENOS AIRES;[-58.162875,-34.9663416667]
ENSERVICIO;LOS BLANCOS;RARALBL01;SALTA;[-62.59499167,-23.60638333]
ENSERVICIO;CORONEL JUAN SOLA;RARACJS01;SALTA;[-62.88200556,-23.47294444]
ENSERVICIO;CAPITAN JUAN PAGE;RARACJP01;SALTA;[-62.376097,-23.686397]
ENSERVICIO;LAS LOMITAS;RARPLLM01;FORMOSA;[-60.59307222,-24.713175]
ENSERVICIO;LAGUNA YEMA;RARPLGY01;FORMOSA;[-61.24861389,-24.2540417]
ENSERVICIO;IBARRETA;RARPIBR01;FORMOSA;[-59.85787222,-25.2157417]
ENSERVICIO;VENADO TUERTO;RARSVEN01;SANTA FE;[-61.957725,-33.7536667]
ENSERVICIO;TEODELINA;RARSTDA01;SANTA FE;[-61.524,-34.1961944]
ENSERVICIO;SANCTI SPIRITU;RARSSPU01;SANTA FE;[-62.23886667,-34.00811111]
ENSERVICIO;SAN GREGORIO;RARSSGR01;SANTA FE;[-62.03641667,-34.32288889]
ENSERVICIO;RUFINO;RARSRFN01;SANTA FE;[-62.70952778,-34.2631944]
ENSERVICIO;DIEGO DE ALVEAR;RARSDDA01;SANTA FE;[-62.12951111,-34.3726111]
ENSERVICIO;AMENABAR;RARSAME01;SANTA FE;[-62.41722222,-34.13546944]
ENSERVICIO;AARON CASTELLANOS;RARSAAC01;SANTA FE;[-62.37058611,-34.33095278]
ENSERVICIO;VEDIA;RARBVED01;BUENOS AIRES;[-61.558728,-34.498003]
ENSERVICIO;IRIARTE;RARBSRI01;BUENOS AIRES;[-61.928475,-34.4162278]
ENSERVICIO;SAFORCADA;RARBSFC01;BUENOS AIRES;[-61.075861,-34.577542]
ENSERVICIO;PATRICIOS;RARBPTR01;BUENOS AIRES;[-60.716524,-35.439027]
ENSERVICIO;O'HIGGINS;RARBOHI01;BUENOS AIRES;[-60.70373889,-34.5838]
ENSERVICIO;9 DE JULIO;RARBNDJ01;BUENOS AIRES;[-60.87249,-35.4409]
ENSERVICIO;MARCELINO UGARTE;RARBMUG01;BUENOS AIRES;[-60.745025,-35.351789]
ENSERVICIO;MORSE;RARBMRS01;BUENOS AIRES;[-60.84036944,-34.7588472]
ENSERVICIO;LAPLACETTE;RARBLTT01;BUENOS AIRES;[-61.155771,-34.720701]
ENSERVICIO;LEANDRO N. ALEM;RARBLNA01;BUENOS AIRES;[-61.39099167,-34.5226194]
ENSERVICIO;BALNEARIO LAGUNA DE GOMEZ;RARBLGO01;BUENOS AIRES;[-61.0193,-34.6559056]
ENSERVICIO;LA AURORA;RARBLAU01;BUENOS AIRES;[-61.207458,-35.408035]
ENSERVICIO;JUNIN;RARBJNN01;BUENOS AIRES;[-60.93161111,-34.56901944]
ENSERVICIO;JUAN BAUTISTA ALBERDI;RARBJBA01;BUENOS AIRES;[-61.80981667,-34.4379944]
ENSERVICIO;IRALA;RARBIRL01;BUENOS AIRES;[-60.69081111,-34.7726194]
ENSERVICIO;EL DORADO;RARBEDO01;BUENOS AIRES;[-61.58135,-34.6485639]
ENSERVICIO;CARLOS MARIA NAON;RARBCMN01;BUENOS AIRES;[-60.824528,-35.238625]
ENSERVICIO;CHACABUCO;RARBCHB01;BUENOS AIRES;[-60.46585278,-34.62842222]
ENSERVICIO;BERMUDEZ (DESVINCULADO);RARBBMZ01;BUENOS AIRES;[-61.32461111,-34.69230556]
ENSERVICIO;BAIGORRITA;RARBBGR01;BUENOS AIRES;[-60.98280833,-34.7477111]
ENSERVICIO;BRAGADO;RARBBGD01;BUENOS AIRES;[-60.47111111,-35.1283333]
ENSERVICIO;ALBERDI VIEJO;RARBAVI01;BUENOS AIRES;[-61.84444444,-34.4419444]
ENSERVICIO;AGUSTIN ROCA;RARBAGT01;BUENOS AIRES;[-60.871035,-34.508096]
ENSERVICIO;AGUSTINA;RARBAGS01;BUENOS AIRES;[-61.064061,-34.460904]
ENSERVICIO;YUTO;RARYYUT01;JUJUY;[-64.47055,-23.64161111]
ENSERVICIO;YALA;RARYYAL01;JUJUY;[-65.401667,-24.118611]
ENSERVICIO;VINALITO;RARYVNL01;JUJUY;[-64.415305556,-23.667944444]
ENSERVICIO;VOLCAN;RARYVLN01;JUJUY;[-65.46397222,-23.91780556]
ENSERVICIO;TUMBAYA;RARYTMY01;JUJUY;[-65.46634167,-23.85431111]
ENSERVICIO;SAUZAL;RARYSZL01;JUJUY;[-64.95749167,-24.297675]
ENSERVICIO;SAN PEDRO DE JUJUY;RARYSPE01;JUJUY;[-64.86322222,-24.23869444]
ENSERVICIO;ROSARIO DE RIO GRANDE;RARYRRG01;JUJUY;[-64.93117778,-24.30761111]
ENSERVICIO;RODEITO;RARYRDE01;JUJUY;[-64.76883611,-24.27088333]
ENSERVICIO;PERICO;RARYPRC01;JUJUY;[-65.11528333,-24.37549722]
ENSERVICIO;PARAPETI;RARYPPT01;JUJUY;[-64.846572,-24.237603]
ENSERVICIO;PALPALA;RARYPPL01;JUJUY;[-65.21231667,-24.25867778]
ENSERVICIO;PUENTE LAVAYEN;RARYPLV01;JUJUY;[-64.706169,-24.273328]
ENSERVICIO;PALOS BLANCOS;RARYPBL01;JUJUY;[-64.94674722,-24.32739444]
ENSERVICIO;MIRAFLORES;RARYMRF01;JUJUY;[-64.82227778,-24.22513889]
ENSERVICIO;LOZANO;RARYLZN01;JUJUY;[-65.404167,-24.091222]
ENSERVICIO;SAN LUCAS;RARYLUS01;JUJUY;[-64.86437222,-24.26747222]
ENSERVICIO;LA MENDIETA;RARYLME01;JUJUY;[-64.96604722,-24.31318611]
ENSERVICIO;LIBERTADOR GENERAL SAN MARTIN;RARYLGS01;JUJUY;[-64.79873889,-23.81651944]
ENSERVICIO;LA ESPERANZA;RARYLEZ01;JUJUY;[-64.841081,-24.227458]
ENSERVICIO;LEON;RARYLEN01;JUJUY;[-65.433083,-24.032083]
ENSERVICIO;SAN SALVADOR DE JUJUY;RARYJJY01;JUJUY;[-65.32754167,-24.17875833]
ENSERVICIO;GUERRERO;RARYGUE01;JUJUY;[-65.449944,-24.18575]
ENSERVICIO;FRAILE PINTADO;RARYFLP01;JUJUY;[-64.80038889,-23.94307222]
ENSERVICIO;EL TALAR;RARYETA01;JUJUY;[-64.361167,-23.557972]
ENSERVICIO;EL PUESTO;RARYEPS01;JUJUY;[-64.78955556,-24.19835278]
ENSERVICIO;EL ACHERAL;RARYEAC01;JUJUY;[-64.798362,-24.403414]
ENSERVICIO;DON EMILIO;RARYDEM01;JUJUY;[-64.90741111,-24.31513889]
ENSERVICIO;CAIMANCITO;RARYCMC01;JUJUY;[-64.602333,-23.740333]
ENSERVICIO;CALILEGUA;RARYCLL01;JUJUY;[-64.776,-23.77252778]
ENSERVICIO;CHALICAN;RARYCLC01;JUJUY;[-64.80698889,-24.06906667]
ENSERVICIO;BARCENA;RARYBRC01;JUJUY;[-65.452911,-23.982475]
ENSERVICIO;BANANAL;RARYBNN01;JUJUY;[-64.50236111,-23.56561111]
ENSERVICIO;BARRIO LA UNION;RARYBLU01;JUJUY;[-65.06995,-24.40512778]
ENSERVICIO;ARRAYANAL;RARYAYN01;JUJUY;[-64.84009444,-24.17766667]
ENSERVICIO;YAVI CHICO;RARYYVC01;JUJUY;[-65.45866667,-22.09991667]
ENSERVICIO;YAVI;RARYYAV01;JUJUY;[-65.45983333,-22.13191667]
ENSERVICIO;UQUIA;RARYUQU01;JUJUY;[-65.35756183,-23.30180652]
ENSERVICIO;TILCARA;RARYTIL01;JUJUY;[-65.39497778,-23.57438056]
ENSERVICIO;TRES CRUCES;RARYTCC01;JUJUY;[-65.58652778,-22.91941667]
ENSERVICIO;SUSQUES;RARYSSQ01;JUJUY;[-66.36625278,-23.39781667]
ENSERVICIO;SAN JUAN DE OROS;RARYSJO01;JUJUY;[-66.24793333,-22.22538333]
ENSERVICIO;SANTA CATALINA;RARYSCA01;JUJUY;[-66.05135278,-21.94499444]
ENSERVICIO;PURMAMARCA;RARYPMM01;JUJUY;[-65.50566667,-23.74052778]
ENSERVICIO;PUMAHUASI;RARYPMH01;JUJUY;[-65.68019444,-22.28788889]
ENSERVICIO;CIENAGA DE PAICONE;RARYPAI01;JUJUY;[-66.41333333,-22.17861111]
ENSERVICIO;ORATORIO;RARYORA01;JUJUY;[-66.13144444,-22.09944444]
ENSERVICIO;NUEVO PIRQUITAS;RARYNPQ01;JUJUY;[-66.45585278,-22.68759167]
ENSERVICIO;MISARRUMI;RARYMSR01;JUJUY;[-66.36722222,-22.25944444]
ENSERVICIO;MAIMARA;RARYMAI01;JUJUY;[-65.413889,-23.635]
ENSERVICIO;LIVIARA;RARYLVA01;JUJUY;[-66.33777778,-22.51972222]
ENSERVICIO;LA INTERMEDIA;RARYLIN01;JUJUY;[-65.70186111,-22.42394444]
ENSERVICIO;LA QUIACA;RARYLAQ01;JUJUY;[-65.59119167,-22.10578611]
ENSERVICIO;JUELLA;RARYJUE01;JUJUY;[-65.411222,-23.513889]
ENSERVICIO;HIPOLITO YRIGOYEN (ITURBE);RARYHYY01;JUJUY;[-65.35296944,-22.97903611]
ENSERVICIO;HUMAHUACA;RARYHUM01;JUJUY;[-65.35190833,-23.20077222]
ENSERVICIO;HUACALERA;RARYHUA01;JUJUY;[-65.35138889,-23.43377778]
ENSERVICIO;CUSI CUSI;RARYCSI01;JUJUY;[-66.4925,-22.34083333]
ENSERVICIO;CORANZULI;RARYCNZ01;JUJUY;[-66.36555556,-23.01638889]
ENSERVICIO;CIENEGUILLAS;RARYCNG01;JUJUY;[-65.86648333,-22.1008]
ENSERVICIO;COLONIA SAN JOSE;RARYCJO01;JUJUY;[-65.345806,-23.39375]
ENSERVICIO;CASIRA;RARYCIA01;JUJUY;[-65.89527222,-21.97830556]
ENSERVICIO;CANGREJILLOS;RARYCGJ01;JUJUY;[-65.58213889,-22.42572222]
ENSERVICIO;BARRIOS;RARYBAR01;JUJUY;[-65.52787171,-22.24627796]
ENSERVICIO;ABRA PAMPA;RARYABP01;JUJUY;[-65.688892,-22.724283]
ENSERVICIO;VILLA CORDOBA;RARWVCB01;CORRIENTES;[-59.07912778,-28.99281111]
ENSERVICIO;SANTA LUCIA;RARWSLU01;CORRIENTES;[-59.09896944,-28.97451389]
ENSERVICIO;PARADA PUCHETA;RARWPPU01;CORRIENTES;[-57.57419444,-29.90538889]
ENSERVICIO;PASO DE LOS LIBRES;RARWPDL01;CORRIENTES;[-57.08069444,-29.7115]
ENSERVICIO;MOCORETA;RARWMTA01;CORRIENTES;[-57.97052778,-30.61536111]
ENSERVICIO;MONTE CASEROS;RARWMCS01;CORRIENTES;[-57.65275,-30.25519444]
ENSERVICIO;LAVALLE;RARWLVL01;CORRIENTES;[-59.17830556,-29.02866667]
ENSERVICIO;JUAN PUJOL;RARWJPJ01;CORRIENTES;[-57.85645556,-30.41752222]
ENSERVICIO;GOYA;RARWGYA01;CORRIENTES;[-59.24827778,-29.16161667]
ENSERVICIO;ESQUINA;RARWEQN01;CORRIENTES;[-59.52844444,-30.01525]
ENSERVICIO;CRUZ DE LOS MILAGROS;RARWCMI01;CORRIENTES;[-59.00372222,-28.83697222]
ENSERVICIO;BELLA VISTA;RARWBVT01;CORRIENTES;[-59.03736111,-28.517925]
ENSERVICIO;BONPLAND;RARWBNP01;CORRIENTES;[-57.42736111,-29.81708333]
ENSERVICIO;URDINARRAIN;RAREUDR01;ENTRE RIOS;[-58.89186111,-32.6788333]
ENSERVICIO;GENERAL GALARZA;RAREGRZ01;ENTRE RIOS;[-59.39337778,-32.72915]
ENSERVICIO;GUALEGUAY;RAREGLY01;ENTRE RIOS;[-59.31715833,-33.1319361]
ENSERVICIO;GUALEGUAYCHU;RAREGCH01;ENTRE RIOS;[-58.53351944,-33.0121694]
ENSERVICIO;GOBERNADOR SOLA;RAREGBS01;ENTRE RIOS;[-59.37033333,-32.3375]
ENSERVICIO;BASAVILBASO;RAREBSV01;ENTRE RIOS;[-58.87845833,-32.37117222]
ENSERVICIO;TATANE;RARPTTN01;FORMOSA;[-58.34417778,-26.3937472]
ENSERVICIO;RIACHO NEGRO;RARPRNG01;FORMOSA;[-57.79273333,-25.424575]
ENSERVICIO;PIRANE;RARPPIR01;FORMOSA;[-59.10506944,-25.7303639]
ENSERVICIO;ING. GUILLERMO N. JUAREZ;RARPIGJ01;FORMOSA;[-61.85263333,-23.8975972]
ENSERVICIO;GRAL. LUCIO V. MANSILLA;RARPGLU01;FORMOSA;[-58.630975,-26.6594722]
ENSERVICIO;GRAN GUARDIA;RARPGGU01;FORMOSA;[-58.88882778,-25.8641278]
ENSERVICIO;FORMOSA;RARPFMS01;FORMOSA;[-58.20715,-26.2057306]
ENSERVICIO;CLORINDA;RARPCLR01;FORMOSA;[-57.72604444,-25.2884083]
ENSERVICIO;CANADA 12;RARPC1201;FORMOSA;[-58.08538611,-25.8816278]
ENSERVICIO;BARTOLOME DE LAS CASAS;RARPBDC01;FORMOSA;[-59.566667,-25.42]
ENSERVICIO;RIO VILLEGAS;RARRRVI01;RIO NEGRO;[-71.50090833,-41.57824722]
ENSERVICIO;EL FOYEL;RARREFY01;RIO NEGRO;[-71.45965278,-41.65309167]
ENSERVICIO;EL BOLSON;RARREBO01;RIO NEGRO;[-71.52751667,-41.97290556]
ENSERVICIO;TECKA;RARUTCK01;CHUBUT;[-70.804908,-43.500344]
ENSERVICIO;LAGO EPUYEN;RARULGE01;CHUBUT;[-71.416638,-42.218335]
ENSERVICIO;LAGO PUELO;RARULAP01;CHUBUT;[-71.546614,-42.026261]
ENSERVICIO;ESQUEL;RARUESQ01;CHUBUT;[-71.287917,-42.907733]
ENSERVICIO;EPUYEN;RARUEPY01;CHUBUT;[-71.355086,-42.228372]
ENSERVICIO;EL HOYO;RARUELH01;CHUBUT;[-71.49515,-42.061501]
ENSERVICIO;VILLA SAN JUSTO;RAREVSJ01;ENTRE RIOS;[-58.43461667,-32.4489278]
ENSERVICIO;VILLAGUAY;RAREVLY01;ENTRE RIOS;[-59.03486111,-31.8636889]
ENSERVICIO;SAN SALVADOR;RARESSV01;ENTRE RIOS;[-58.51511111,-31.6243056]
ENSERVICIO;FREITAS SAN PEDRO;RARESPE01;ENTRE RIOS;[-58.07956389,-30.755125]
ENSERVICIO;SAN JAIME DE LA FRONTERA;RARESJM01;ENTRE RIOS;[-58.31655556,-30.3403611]
